seller,listing_title,card_id_or_variant,ask_eur,market_reference_eur,reference_basis,assessment,notes
Rocco_jr,"Aerodactyl VSTAR - Lost Origin",093/196,5.00,1.15,"Cardmarket trend approx; 30d about 1.08","avoid_for_sourcing","English listing; local ask is several times specialist-market value."
Rocco_jr,"Malamar - Silver Tempest Trainer Gallery",TG06,4.00,1.74,"Cardmarket 30d avg; NM offers around 0.80-1.40","avoid_for_sourcing","Useful example of Irish convenience/retail premium rather than deal pricing."
Rocco_jr,"Unown VSTAR - Silver Tempest",066/195,4.00,1.34,"Cardmarket 30d avg","avoid_for_sourcing","Retail ask materially above specialist-market value."
Rocco_jr,"Pinsir GX - Hidden Fates",6/68,4.00,1.43,"Cardmarket 30d avg; EN NM low observed around 0.90","avoid_for_sourcing","Not a flip entry."
Rocco_jr,"Pikachu V - SWSH Black Star Promo",SWSH198,4.00,,"Adverts listing has a concrete €4 offer accepted on 2026-09-05; seller notes €2 postage for up to 10 cards","local_retail_benchmark","Strong evidence that a recognizable low-value card can attract full asking price locally; acceptance is not by itself proof of completed sale."
Rocco_jr,"Volo - Lost Origin Secret Rainbow Rare",211/196,6.00,5.01,"Recent cross-market/raw English reference around €5; Cardmarket EN NM floor observed around €3.50","fair_retail_not_flip","Reasonable local collector price but little resale margin."
Rocco_jr,"Rayquaza V - Evolving Skies",110/203,4.00,2.53,"Current Cardmarket trend around €2.5; recent EN sales around €1-2","fair_high_retail","Popular character but not an attractive reseller entry at €4."
Rocco_jr,"Salamence - Roaring Skies Holo",57/108,4.00,1.73,"Cardmarket 30d avg around €1.7","avoid_for_sourcing","Local ask is above specialist-market benchmark."
Rocco_jr,"Magnemite - Team Rocket 1st Edition",60/82,7.00,3.10,"UK raw 1st-edition guide about £2.68 equivalent ~€3.1","avoid_for_sourcing","Despite vintage appeal, €7 is not compelling for resale."
Rocco_jr,"Tangela - Generations 20th Anniversary stamped variant",GEN8 stamped,6.00,8.35,"Cardmarket matching stamped-variant 30d avg about €8.35; NM offers observed from €7.99 and trend about €11.94","investigate","Best sampled sourcing candidate. Verify exact stamped variant and condition from photos. Combined postage can improve landed cost materially."
