id_product,article_price_eur,shipping_total_eur,shipping_allocation_eur,seller,seller_rating,seller_sales,ships_to_ireland,language,condition,checked_at,source,notes
665687,9.00,1.55,0.775,Andys-Pokeshop,Very Good,23000,yes,en,NM,2026-09-04,Cardmarket screenshot,"Shipping is the €1.55 two-card basket total; €0.775 is a simple 50/50 allocation for the Dragonite pair test."
665687,7.60,,,Tjanpf,Unrated,3,yes,en,NM,2026-09-05,Cardmarket screenshot,"Active Ireland cart but only 3 seller sales; keep as a visible outlier, not a robust planning-floor input. Shipping amount not visible."
665687,7.95,3.65,1.825,Quutamo,Outstanding,180,yes,en,EX,2026-09-04,Cardmarket screenshot,"Two-card Finland basket; PGO076 is EX rather than NM, so excluded by the strict sourcing rule."
665687,8.50,,,The-Yosa-Shop,,36,yes,en,NM,2026-09-05,Cardmarket screenshot,"Active cart to Ireland in the filtered PGO076 offer list; shipping not yet checked."
665687,8.90,,,Les007,,11,yes,en,NM,2026-09-05,Cardmarket screenshot,"Active cart to Ireland in the filtered PGO076 offer list; shipping not yet checked."
665687,9.00,3.37,,Randyheinderson,,264,yes,en,NM,2026-09-05,Cardmarket screenshots,"Active Ireland cart; earlier two-card basket showed €3.37 total shipping. No single-card allocation assumed here."
665687,9.00,,,GlennTheMan,,132,yes,en,NM,2026-09-05,Cardmarket screenshot,"Active cart to Ireland; listing note says ask for photos. Shipping not yet checked."
665676,1.75,2.41,0.803,DubyDigital,,1000,yes,en,NM,2026-09-05,Cardmarket Shopping Wizard screenshot,"PGO050 in the three-card Duby basket; €2.41 basket shipping allocated equally across three cards for planning."
665676,1.75,3.37,1.685,Randyheinderson,,264,yes,en,NM,2026-09-05,Cardmarket Shopping Wizard screenshot,"PGO050 in a two-card Randy basket; €3.37 basket shipping allocated equally across two cards for planning."
725239,2.50,2.41,0.803,DubyDigital,,1000,yes,en,NM,2026-09-05,Cardmarket Shopping Wizard screenshot,"OBF159 in the three-card Duby basket; currently only one confirmed Ireland-shipping offer in our evidence, so no formal robust Cardmarket floor yet."
869763,2.80,,,Axen99,,16,yes,en,NM,2026-09-05,Cardmarket screenshot,"Active cart in the user's Ireland Cardmarket session; shipping not yet checked."
869763,2.90,,,TychoKyllian,,164,yes,en,NM,2026-09-05,Cardmarket screenshot,"Active cart in the user's Ireland Cardmarket session; shipping not yet checked."
869763,2.99,,,Ainoah,,355,yes,en,NM,2026-09-05,Cardmarket screenshot,"Active cart in the user's Ireland Cardmarket session; shipping not yet checked."
