listing_id,seller_name,listing_title,query_strategy,exact_match,matched_listing_id,notes
40758551,batch91,Pokemon Cards,id+seller+title,false,,"No Firecrawl result for exact known sold listing; generic title remains difficult."
40926024,batch91,Pokemon Cards,id+seller+title,true,40926024,"Exact touch.adverts.ie result recovered with matching binder description."
40926025,batch91,Pokemon Cards,id+seller+title,true,40926025,"Exact touch.adverts.ie result recovered with matching binder description."
36964449,PokeDub,Pokemon Silver Tempest Complete Master set and Promos 1700Euro,exact_title+seller,true,36964449,"Exact touch.adverts.ie result recovered; snippet showed current placeholder ask context."
37253325,PokeDub,Prismatic Evolutions Roaring Moon ex #162,exact_title+seller,false,,"No result; retry with ID-only and unquoted title also returned no hit."
36411508,PokeDub,Pokemon Scarlet & Violet Complete master set and all rare promos,exact_title+seller,true,36411508,"Exact www.adverts.ie result recovered; snippet included seller/comment evidence."
37724353,PokeDub,Pokemon Black Star Promo Hisuian Decidueye V #SWSH238,exact_title+seller,false,,"No result; broader site query also returned no hit."
36200911,PokeDub,Pokemon Prismatic Evolutions Larrys Skill Pokeball #115,exact_title+seller,false,,"No result."
36200874,PokeDub,Pokemon Prismatic Evolutions Max Rod #116,exact_title+seller,false,36225933,"Search returned a different Max Rod listing ID, so exact-match validation correctly rejects it."
38889838,mini4real2k6,Pokemon Card Bundles,exact_title+seller,false,,"No exact seller/listing result. Broad title search returned other Pokemon bundle competitors but not this historical listing."
40758540,batch91,Pokemon Cards,id+seller+title,true,40758540,"Exact touch.adverts.ie result recovered with matching binder description."
36342137,mini4real2k6,Sword & Shield - Vivid Voltage Pokemon cards bulk,exact_title+seller,false,,"No result; ID+seller retry also returned no hit."
39273643,mini4real2k6,Bulk Pokemon Energy Cards,id+seller+title,false,,"No result."
