source,evidence_type,rank,confidence,automatic_resale_eligible,interpretation
EBAY_PRODUCT_RESEARCH,ACTUAL_SOLD,1,VERY_HIGH,manual_only,"Strongest manual eBay evidence when exact card/version/language/condition/region match."
EBAY_SOLD_PAGE,LIVE_SOLD_COMPLETED,2,HIGH,manual_only,"Strong exact sold/completed page evidence after excluding lots, slabs, proxies and mismatches."
EBAY_ARCHIVE,ARCHIVED_EXACT_LISTING,3,MEDIUM_HIGH,manual_only,"Corroborating exact-listing evidence; verify capture completeness and sale state."
EBAY_SEARCH_OR_TRACKER,SEARCH_SNIPPET_OR_PRICE_TRACKER,4,LOW,no,"Discovery/context only; do not treat as confirmed sold without underlying transaction verification."
EBAY_ACTIVE,ACTIVE_ASK,5,VERY_LOW,no,"Asking-price context only; never relabel as sold."
DONEDEAL,ACTIVE_ASK,6,VERY_LOW,no,"Irish sourcing/retail ask context only; not realized sale value."
DONEDEAL,PRICE_REDUCTION,6,LOW,no,"Seller-motivation/negotiation signal only; not a sale price."
DONEDEAL,AD_UNAVAILABLE,7,LOW,no,"Unknown outcome; could be sold, expired, withdrawn, deleted or relisted."
ADVERTS,PLATFORM_SOLD_PLUS_VISIBLE_OFFER,1,VERY_HIGH,manual_only,"Confirmed local sale with likely realized price unless contradictory evidence exists."
ADVERTS,PLATFORM_SOLD,2,HIGH,manual_only,"Confirmed local sale; realized price unknown unless separately visible."
ADVERTS,SELLER_MARKED_SOLD,3,HIGH,manual_only,"Strong sale-state evidence; realized price unknown unless separately shown."
ADVERTS,ACCEPTED_OFFER_NO_SOLD_STATE,4,MEDIUM,no,"Useful willingness-to-pay evidence but not a confirmed completed sale."
ADVERTS,ACTIVE_ASK,7,NONE,no,"Local retail ceiling/context only."
