priority,query,purpose,notes
1,"site:adverts.ie pokemon cards","broad core discovery","Primary high-recall query; do not require exact title wording."
1,"site:adverts.ie pokemon tcg","broad TCG discovery","Catches listings using TCG rather than cards."
1,"site:adverts.ie pokemon binder","binder discovery","High priority because low-priced binders/collections can sell quickly."
1,"site:adverts.ie pokemon collection","collection discovery","Whole collections and clear-outs."
1,"site:adverts.ie pokemon bulk","bulk discovery","Bulk and bundle-building inventory."
1,"site:adverts.ie pokemon card bundle","bundle discovery","Kids bundles, mixed lots and tins."
2,"site:adverts.ie pokemon cards lot","job-lot discovery","Catches lot/job-lot wording."
2,"site:adverts.ie pokemon ex cards","ex discovery","Cheap ex inventory and underpriced lots."
2,"site:adverts.ie pokemon v cards","V discovery","Sword & Shield-era hits and mixed lots."
2,"site:adverts.ie pikachu pokemon cards","Pikachu discovery","High buyer/child appeal."
2,"site:adverts.ie pokemon illustration rare","IR discovery","Illustration rare singles/lots."
2,"site:adverts.ie pokemon IR cards","IR abbreviation discovery","Catches abbreviated listing language."
2,"site:adverts.ie pokemon holo reverse","foil discovery","Holo/reverse inventory useful for bundles."
3,"site:adverts.ie pokemon tin cards","tin discovery","Low-price card+tins and prepared bundles."
3,"site:adverts.ie pokemon charizard cards","popular-character discovery","Collector/liquidity lead."
3,"site:adverts.ie pokemon dragonite cards","project-theme discovery","Collection/bundle target."
3,"site:adverts.ie pokemon eevee cards","popular-theme discovery","Eeveelution/kids bundle target."
