listing_id,title_or_context,last_known_ask_eur,current_public_state,sale_confidence,price_confidence,evidence_notes,source_url,last_checked
40068659,"Pokemon DragoniteV full art",15,active,none,none,"Public index still shows active listing. €13 offered; seller later posted Still Available.",https://www.adverts.ie/other-antiques-collectables/pokemon-dragonitev-full-art/40068659,2026-09-05
40951447,"Pokemon Cards TCG - Best Offer (Luxray/Serperior/Gengar etc.)",25,active,none,none,"Public index crawled today; Ask Question / Make Offer shown; no sold banner.",https://www.adverts.ie/other-antiques-collectables/pokemon-cards-tcg-best-offer/40951447,2026-09-05
40951427,"Pokemon Cards TCG - Best Offer (Silvally/Koraidon etc.)",20,active,none,none,"Public index crawled today; no sold banner.",https://www.adverts.ie/other-antiques-collectables/pokemon-cards-tcg-best-offer/40951427,2026-09-05
40951377,"Pokemon Cards TCG - Best Offer (Wailord ex/Mega Starmie ex/Morpeko ex)",40,active,none,none,"Public index crawled today; no sold banner.",https://www.adverts.ie/other-antiques-collectables/pokemon-cards-tcg-best-offer/40951377,2026-09-05
40951345,"Pokemon Cards TCG - Best Offer (Japanese Nihil Zero)",50,active,none,none,"Public index crawled today; no sold banner.",https://www.adverts.ie/other-antiques-collectables/pokemon-cards-tcg-best-offer/40951345,2026-09-05
38973923,"Pokemon Go Complete Uncommon Common Set 42 cards",7,active,none,none,"Public index crawled yesterday; listing remains active at €7.",https://www.adverts.ie/other-antiques-collectables/pokemon-go-complete-uncommon-common-set-42-cards/38973923,2026-09-05
37278289,"Pokemon Sun and Moon Series Hidden Fates Full Set Common Uncommon and Trainers 35 cards",10,active,none,none,"Public index still shows active listing at €10.",https://www.adverts.ie/other-antiques-collectables/pokemon-sun-and-moon-series-hidden-fates-full-set-common-uncommon-and-trainers-35-cards/37278289,2026-09-05
37874676,"Pokemon cards",,platform_sold,very_high,unknown,"Exact public Adverts URL now displays 'This item has been sold.' Original realized price not recoverable from current indexed sold page.",https://www.adverts.ie/other-toys-games/pokemon-cards/37874676,2026-09-05
40248819,"Pokemon Chaos Rising",,unresolved,unknown,unknown,"Exact listing ID/title not returned by current public search index; do not infer sale from disappearance.",https://www.adverts.ie/other-toys-games/pokemon-chaos-rising/40248819,2026-09-05
40483882,"Pokemon cards/accessories lot (prior project scan)",,unresolved,unknown,unknown,"No exact current public-index hit recovered; do not infer sale.",https://www.adverts.ie/other-toys-games/pokemon-cards/40483882,2026-09-05
40938210,"Pokemon cards (prior project scan)",,unresolved,unknown,unknown,"Exact listing ID not returned by current public search index; do not infer sale.",https://www.adverts.ie/other-toys-games/pokemon-cards/40938210,2026-09-05
40946018,"Pokemon cards (prior project scan)",,unresolved,unknown,unknown,"Exact listing ID not returned by current public search index; do not infer sale.",https://www.adverts.ie/other-toys-games/pokemon-cards/40946018,2026-09-05
40952825,"Pokemon listing (prior project scan; short URL)",,unresolved,unknown,unknown,"Current public search did not recover the Adverts listing; unrelated sites share this numeric ID, so no status inference is safe.",http://www.adverts.ie/40952825,2026-09-05
