card_name,category,finish_or_batch,iconic_rating,deck_priority,evolution_note,personal_keep,bundle_role,single_sale,notes
Trekking Shoes,Trainer,holo/reverse,2,low,None,0-1,trainer highlight,no,Rotated; visually nicer than plain Trainer bulk
Klara,Trainer,holo/reverse,4,low,None,0-1,trainer highlight,no,Rotated; recognisable Supporter
Marnie,Trainer,holo/reverse,5,low,None,1,trainer highlight/collector keep,maybe,Popular character; keep separate before using as filler
Eri,Trainer,standard,3,medium,None,1-2,trainer slot,no,Useful disruption tech
Ciphermaniac's Codebreaking,Trainer,standard,3,medium-high,None,2-4,trainer slot,no,Useful search/support option
Morty's Conviction,Trainer,standard,3,medium,None,1-2,trainer slot,no,Niche Supporter
Ancient Booster Energy Capsule,Trainer,standard,3,low,None,1-2,trainer slot,no,Ancient-specific; lower priority after rotation changes
Bianca's Devotion,Trainer,standard,3,low,None,1,trainer slot,no,Safe bundle Trainer beyond one copy
Boxed Order,Trainer,standard,2,low,None,1,trainer slot,no,Low-priority Trainer
Explorer's Guidance,Trainer,standard,2,low,None,1-2,trainer slot,no,Niche Ancient support
Full Metal Lab,Trainer,standard,3,medium,None,2-3,trainer slot,no,Useful Metal Stadium reserve
Future Booster Energy Capsule,Trainer,standard,3,low,None,1-2,trainer slot,no,Future-specific; lower priority after rotation changes
Binding Mochi,Trainer,standard,3,medium,None,2-4,trainer slot,no,Keep for Poison experiments
Colress's Tenacity,Trainer,standard,4,medium-high,None,2-3,trainer slot,no,Useful Stadium + Energy search
Powerglass,Trainer,standard,3,medium,None,1-2,trainer slot,no,Potential Energy recovery tech
Hand Trimmer,Trainer,standard,2,low-medium,None,1-2,trainer slot,no,Niche disruption
Rescue Board,Trainer,standard,4,high,None,2-4,trainer slot,no,Strong generic utility
Heavy Baton,Trainer,standard,3,medium,None,1-2,trainer slot,no,Useful in high-retreat decks
Xerosic's Machinations,Trainer,standard,3,medium,None,1-2,trainer slot,no,Disruption tech
Academy at Night,Trainer,standard,3,medium,None,1-2,trainer slot,no,Niche Stadium utility
Buddy-Buddy Poffin,Trainer,standard,4,very high,None,keep all up to playsets,do not bundle until surplus,no,Top generic staple from Trainer batch
Salvatore,Trainer,standard,3,medium,None,1-2,trainer slot,no,Evolution support
Perilous Jungle,Trainer,standard,3,medium,None,2,trainer slot,no,Keep for Poison experiments
Meowth,Pokemon,holo/reverse pile,4,low,Meowth -> Persian,1-2,iconic highlight,no,Recognisable kid appeal
Haunter,Pokemon,holo/reverse pile,4,medium,Gastly -> Haunter -> Gengar,1,bundle highlight after reserve,no,Keep if building Gengar line
Hoothoot,Pokemon,holo/reverse pile,3,low,Hoothoot -> Noctowl,1,evolution/bundle,no,Duplicate name seen in multiple photos
