pokemon,icon_bucket,wants_qty,target_unit_eur,max_unit_eur,priority,notes
Pikachu,FLEX,3,0.10,0.20,A+,"Universal Icon; works in Cute, Power or Mixed."
Eevee,CUTE,3,0.10,0.20,A+,"Very strong child/collector recognition; excellent Cute anchor."
Bulbasaur,CUTE,3,0.10,0.20,A+,"Starter Icon; strong Cute/Mixed fit."
Charmander,POWER,3,0.10,0.20,A+,"Starter Icon with obvious Fire/Power fit."
Squirtle,CUTE,3,0.10,0.20,A+,"Starter Icon; strong Cute/Mixed fit."
Psyduck,CUTE,3,0.10,0.20,A,"Highly recognizable and comic/cute."
Jigglypuff,CUTE,3,0.10,0.20,A,"Classic cute character."
Meowth,CUTE,3,0.10,0.20,A,"Classic anime recognition and Cute fit."
Dragonite,POWER,3,0.15,0.30,A+,"Top Dragon/Power Icon; allow modest basket premium."
Gengar,POWER,3,0.15,0.30,A+,"Very strong modern collector recognition; Power/cool fit."
Mewtwo,POWER,3,0.15,0.30,A+,"Major franchise Icon; Power fit."
Gyarados,POWER,3,0.10,0.20,A,"Large/strong iconic Pokemon."
Arcanine,POWER,3,0.10,0.20,A,"Recognizable strong/cool Pokemon."
Machamp,POWER,3,0.10,0.20,B+,"Classic strong Pokemon; useful Power diversity."
Snorlax,FLEX,3,0.10,0.20,A+,"Highly recognizable; works Cute or Mixed and can soften Power bundles."
Vaporeon,CUTE,3,0.10,0.20,A,"Popular Eeveelution; Cute/Mixed."
Jolteon,POWER,3,0.10,0.20,A,"Popular Eeveelution; Power/Mixed."
Flareon,POWER,3,0.10,0.20,A,"Popular Eeveelution; Power/Mixed."
Raichu,FLEX,3,0.10,0.20,A,"Pikachu evolution; flexible across themes."
