checked_at,seller_name,listing_id,card,language,ask_eur,postage_rule,reference_eur,reference_basis,reference_quality,provisional_decision,notes
2026-09-07,Rocco_jr,30887635,"Fighting Energy 110/114 Play! Pokemon League stamp, Black & White era",English,2.00,"€2 up to 10 cards",3.95,"Independent English variant reference; Cardmarket V3 has NM offers around €4.95 but listing language is not exposed in the public page",medium,"VERIFY_EXACT_VARIANT_AND_CONDITION / BASKET_CANDIDATE","Strongest current candidate. At €2.20 basket-adjusted cost it has useful cushion; single-card landed at €4 is much less attractive. Require photos and exact league-stamp match before purchase."
2026-09-07,Rocco_jr,38675194,"Pikachu ex 028/131 Prismatic Evolutions",English,4.00,"€2 up to 10 cards",3.21,"Cardmarket/market trend context",medium,"PASS_RETAIL_BENCHMARK","Not a sourcing discount. Useful local demand evidence because a €4 offer was accepted."
2026-09-07,Rocco_jr,39806960,"Venusaur ex 001/142 Stellar Crown",English,4.00,"€2 up to 10 cards",1.47,"Cardmarket trend context",medium,"PASS","Retail ask well above specialist market context."
2026-09-07,Rocco_jr,40326288,"Black Kyurem ex 218/191 Surging Sparks",English,5.00,"€2 up to 10 cards",2.49,"Cardmarket trend/30d context",medium,"PASS","Retail ask; not a cherry-pick."
2026-09-07,Rocco_jr,35150132,"Basic Lightning Energy 257/198 Scarlet & Violet",English,7.00,"€2 up to 10 cards",3.82,"English TCGPlayer market context",medium,"PASS","Not a sourcing deal at current ask."
2026-09-07,Rocco_jr,37448990,"Shadow Rider Calyrex VMAX TG18/TG30 Astral Radiance",English,12.00,"€2 up to 10 cards",10.93,"Cardmarket 30-day context for TG18; exact title/card-number mapping should be checked",medium,"PASS","At best around specialist market; insufficient discount for cherry-pick."
2026-09-07,Rocco_jr,40953120,"Tyme 143/131 Prismatic Evolutions",English,3.00,"€2 up to 10 cards",0.70,"Cardmarket trend context",medium,"PASS","Retail ask well above specialist market."
2026-09-07,Rocco_jr,40953124,"Briar 163/142 Stellar Crown",English,5.00,"€2 up to 10 cards",1.87,"Cardmarket trend context",medium,"PASS","Retail ask well above specialist market."
2026-09-07,Rocco_jr,40963372,"Unown VSTAR 066/195 Silver Tempest",English,4.00,"€2 up to 10 cards",1.30,"Cardmarket 30-day context",medium,"PASS","Not a cherry-pick."
2026-09-07,Rocco_jr,40963379,"Aerodactyl VSTAR 093/196 Lost Origin",English,5.00,"€2 up to 10 cards",1.10,"Cardmarket context",medium,"PASS","Not a cherry-pick."
2026-09-07,Rocco_jr,40963374,"Malamar TG06/TG30 Silver Tempest",English,4.00,"€2 up to 10 cards",1.70,"Cardmarket 30-day context",medium,"PASS","Not a cherry-pick."
2026-09-07,Rocco_jr,32075705,"Litten Sun & Moon era promo holo",English,4.00,"€2 up to 10 cards",,"Exact promo identity/reference not yet verified",low,"VERIFY_IDENTITY","Older promo worth checking only if exact printing differs from the common SM promo."
2026-09-07,Rocco_jr,33382028,"Gallade holo 61/135 Plasma Storm",English,5.00,"€2 up to 10 cards",5.07,"Independent English raw market estimate",medium,"PASS_FAIR","Approximately fair market, not 20% under."
2026-09-07,Rocco_jr,31825376,"Butterfree FB Lv.50 League promo stamp reverse holo, Supreme Victors",English,5.00,"€2 up to 10 cards",4.99,"Cardmarket trend context for relevant variant",medium,"PASS_FAIR","Interesting collectible but no meaningful sourcing discount at €5."
2026-09-07,Rocco_jr,33383270,"Sleep! Team Rocket 1st Edition",English,6.00,"€2 up to 10 cards",,"Conflicting external references; exact English 1st-edition NM floor not verified",low,"VERIFY_REFERENCE","Do not buy from current evidence alone."
