bundle_type,theme,source_box,card_role,count,notes
Standard,Cute,ICON,recognizable_focal_pokemon,1,"Minimum 1 iconic/recognizable Pokemon; examples from prior sorting discussions include Pikachu/Eevee/Meowth/starters."
Standard,Cute,GREAT_CUTE,cute_theme_pokemon,6,"Best-looking cute cards; regular/non-shiny unless allocated to SHINY box."
Standard,Cute,EVOLUTION,evolution_line_cards,3,"Prefer one coherent 3-card evolution line where possible; use regular/non-shiny cards here so shiny quota stays separate."
Standard,Cute,COMMON,other_regular_pokemon,29,"Fill with regular Pokemon, balanced visual/type coverage, avoiding obvious duplicates."
Standard,Cute,SHINY_POKEMON,holo_reverse_holo_pokemon,9,"Pokemon holo/reverse-holo only; Trainer holo/RH does not count toward this quota."
Standard,Cute,TRAINER,trainer_cards,2,"Regular Trainers; shiny Trainers stay in Trainer allocation, not SHINY quota."
Standard,Power,ICON,recognizable_focal_pokemon,1,"Minimum 1 iconic/recognizable Pokemon."
Standard,Power,GREAT_POWER,strong_dragon_theme_pokemon,6,"Use dragon/strong/cool-looking cards from the Great box."
Standard,Power,EVOLUTION,evolution_line_cards,3,"Prefer one coherent 3-card evolution line where possible."
Standard,Power,COMMON,other_regular_pokemon,29,"Fill with regular Pokemon, balanced visual/type coverage, avoiding obvious duplicates."
Standard,Power,SHINY_POKEMON,holo_reverse_holo_pokemon,9,"Pokemon holo/reverse-holo only."
Standard,Power,TRAINER,trainer_cards,2,"Regular Trainers."
Standard,Mixed,ICON,recognizable_focal_pokemon,1,"Minimum 1 iconic/recognizable Pokemon."
Standard,Mixed,GREAT_CUTE,cute_theme_pokemon,3,"Half of the Great-theme allocation."
Standard,Mixed,GREAT_POWER,strong_dragon_theme_pokemon,3,"Half of the Great-theme allocation."
Standard,Mixed,EVOLUTION,evolution_line_cards,3,"Prefer one coherent 3-card evolution line where possible."
Standard,Mixed,COMMON,other_regular_pokemon,29,"Fill with regular Pokemon, balanced visual/type coverage, avoiding obvious duplicates."
Standard,Mixed,SHINY_POKEMON,holo_reverse_holo_pokemon,9,"Pokemon holo/reverse-holo only."
Standard,Mixed,TRAINER,trainer_cards,2,"Regular Trainers."
Premium,Cute,ICON,recognizable_focal_pokemon,1,"Minimum 1 iconic/recognizable Pokemon in addition to the ex/V hero."
Premium,Cute,GREAT_CUTE,cute_theme_pokemon,6,"Best-looking cute regular Pokemon."
Premium,Cute,EVOLUTION,evolution_line_cards,3,"Prefer one coherent 3-card evolution line where possible."
Premium,Cute,COMMON,other_regular_pokemon,29,"Fill with regular Pokemon, balanced visual/type coverage, avoiding obvious duplicates."
Premium,Cute,SHINY_POKEMON,holo_reverse_holo_pokemon,7,"Pokemon holo/reverse-holo only."
Premium,Cute,TRAINER,trainer_cards,3,"Regular Trainers."
Premium,Cute,HERO_EX_V,guaranteed_ex_v_hero,1,"Sleeved hero card; ideally matches theme when practical."
Premium,Power,ICON,recognizable_focal_pokemon,1,"Minimum 1 iconic/recognizable Pokemon in addition to the ex/V hero."
Premium,Power,GREAT_POWER,strong_dragon_theme_pokemon,6,"Use dragon/strong/cool-looking cards from the Great box."
Premium,Power,EVOLUTION,evolution_line_cards,3,"Prefer one coherent 3-card evolution line where possible."
Premium,Power,COMMON,other_regular_pokemon,29,"Fill with regular Pokemon, balanced visual/type coverage, avoiding obvious duplicates."
Premium,Power,SHINY_POKEMON,holo_reverse_holo_pokemon,7,"Pokemon holo/reverse-holo only."
Premium,Power,TRAINER,trainer_cards,3,"Regular Trainers."
Premium,Power,HERO_EX_V,guaranteed_ex_v_hero,1,"Sleeved hero card; ideally matches theme when practical."
Premium,Mixed,ICON,recognizable_focal_pokemon,1,"Minimum 1 iconic/recognizable Pokemon in addition to the ex/V hero."
Premium,Mixed,GREAT_CUTE,cute_theme_pokemon,3,"Half of the Great-theme allocation."
Premium,Mixed,GREAT_POWER,strong_dragon_theme_pokemon,3,"Half of the Great-theme allocation."
Premium,Mixed,EVOLUTION,evolution_line_cards,3,"Prefer one coherent 3-card evolution line where possible."
Premium,Mixed,COMMON,other_regular_pokemon,29,"Fill with regular Pokemon, balanced visual/type coverage, avoiding obvious duplicates."
Premium,Mixed,SHINY_POKEMON,holo_reverse_holo_pokemon,7,"Pokemon holo/reverse-holo only."
Premium,Mixed,TRAINER,trainer_cards,3,"Regular Trainers."
Premium,Mixed,HERO_EX_V,guaranteed_ex_v_hero,1,"Sleeved hero card; hero can be any attractive recognizable ex/V."
