platform,item_id,title,card_count_public,public_price_eur,sold_state,condition,composition_or_notes,sold_state_confidence,price_realization_confidence,source_url,source_origin,last_checked
Vinted,9618780969,"Lot de + de 50 cartes Pokémon Lumière interdite","50+",3.00,confirmed_sold,"Very good","Forbidden Light-era lot; exact composition not recovered from indexed snippet",high,medium,"https://www.vinted.ie/items/9618780969-lot-de-de-50-cartes-pokemon-lumiere-interdite","public_search_index",2026-09-08
Vinted,9222312301,"Lot cartes Pokémon HGSS",50,17.00,confirmed_sold,"Very good","50 HGSS cards including 4 holo/reverse; older-era premium composition",high,medium,"https://www.vinted.ie/items/9222312301-lot-cartes-pokemon-hgss","public_search_index",2026-09-08
Vinted,9002412817,"Mazzo carte pokemon 60",60,6.50,confirmed_sold,"New without tags","60 genuine Italian cards; no duplicates; no Energy; seller described excellent condition",high,medium,"https://www.vinted.ie/items/9002412817-mazzo-carte-pokemon-60","public_search_index",2026-09-08
Vinted,9611314724,"Lot cartes Pokémon",40,8.00,confirmed_sold,"Satisfactory","40-card count recovered from count-targeted indexed result; exact composition not recovered",medium_high,medium,"https://www.vinted.ie/items/9611314724-lot-cartes-pokemon","public_search_index",2026-09-08
Vinted,8788315141,"Carte Pokemon Pack Florizarre V",34,10.00,confirmed_sold,"Very good","30 Pokémon cards + 3 shiny cards + 1 Venusaur V SWSH100; unusually close to planned curated bundle concept",high,medium,"https://www.vinted.ie/items/8788315141-carte-pokemon-pack-florizarre-v","public_search_index",2026-09-08
Vinted,9761368585,"Lot de 50 cartes Pokémon Officiel Chinois",50,3.00,confirmed_sold,"New without tags","50 official Chinese-language Pokémon cards; language/product positioning differs from planned English bundle",high,medium,"https://www.vinted.fr/items/9761368585-lot-de-50-cartes-pokemon-officiel-chinois","public_search_index",2026-09-08
Vinted,9537086514,"Lot de 50 cartes Pokémon reverses Foudre noire",50,7.00,confirmed_sold,"New without tags","50 reverse cards from Black Bolt/Foudre noire; foil-heavy specialist lot",high,medium,"https://www.vinted.fr/items/9537086514-lot-de-50-cartes-pokemon-reverses-foudre-noire","public_search_index",2026-09-08
Vinted,9757341456,"Lot de 50 Cartes Pokémon sans doubles + 5 EX Ultra Rares",50,50.00,confirmed_sold,"Very good","Official French cards, no duplicates and 5 EX Ultra Rares. Public list price is approximate, derived from indexed €53.19 buyer-protection-inclusive figure; treat as premium outlier and exclude from core generic-bundle median.",high,low_medium,"https://www.vinted.fr/items/9757341456-cartes-pokemon-lot-de-50-cartes-pokemon-sans-doubles-5-ex-ultra-rares","public_search_index",2026-09-08
Vinted,9556170101,"50 Pokémon Karten Set | Vintage & Gelber Rand | Sammler Bundle",50,7.00,confirmed_sold,"Good","German-market vintage/yellow-border collector bundle",high,medium,"https://www.vinted.de/items/9556170101-50-pokemon-karten-set-vintage-gelber-rand-sammler-bundle","public_search_index",2026-09-08
Vinted,9549061339,"Pokémon Karten Set (50 Stück) | Abgebildetes Set, Top Zustand!",50,8.00,confirmed_sold,"Very good","Gift/collector-style 50-card set. Price reconstructed from indexed €9.10 buyer-protection-inclusive display; keep price confidence below fully explicit rows.",high,low_medium,"https://www.vinted.de/items/9549061339-pokemon-karten-set-50-stuck-abgebildetes-set-top-zustand","public_search_index",2026-09-08
